顧客ID,施術時間
112093,60
121059,90
321123,60
331001,30
431039,75
512107,60
612072,75
651028,60
651042,60
711087,90
721111,60
741001,90
751046,60
812016,30
1110167,60
1120290,120
1120350,60
1150376,75
1150435,30
1310100,90
1321014,75
1511020,60
1730012,90
1811022,120
2110094,75
2110175,60
2112136,45
2112528,60
2112548,150
2112659,60
2112660,45
2112676,90
2120096,60
2120206,60
2121269,60
2121295,30
2122338,60
2122348,180
2122370,60
2122607,30
2122651,90
2122737,60
2122857,75
2122874,105
2122990,60
2123168,135
2123189,30
2123192,75
2123228,45
2123244,30
2123261,60
2123272,45
2123295,105
2123297,60
2123298,165
2123300,90
2132352,60
2132353,135
2140012,75
2142134,60
2142152,135
2152059,75
2152765,60
2152833,120
2152849,60
2152923,90
2152955,60
2153002,120
2153051,45
2153095,90
2153138,30
2153142,45
2153166,45
2153173,105
2153174,75
2153175,60
2153176,60
2153177,90
2212263,60
2212366,60
2212894,45
2212967,75
2212971,135
2212973,45
2212976,120
2212978,180
2212979,90
2212980,60
2212981,60
2220105,30
2222176,60
2222195,30
2222307,90
2222375,75
2222388,45
2222401,120
2232351,30
2232369,30
2232383,30
2232386,60
2232387,105
2232388,105
2242010,60
2251012,30
2251240,60
2252268,15
2252292,60
2252403,60
2252456,45
2252531,60
2252541,75
2252564,75
2252646,45
2252697,60
2252703,45
2252704,45
2252708,75
2252709,60
2311149,60
2312096,60
2312708,75
2312793,75
2312794,60
2312797,90
2312870,60
2312875,90
2312876,45
2312881,60
2312890,45
2312894,60
2312895,120
2312897,90
2321013,75
2322187,90
2322335,30
2322538,90
2322551,120
2322599,45
2322604,105
2322609,90
2322615,15
2322616,30
2322621,45
2322625,105
2322627,195
2332270,60
2332313,60
2332460,75
2332530,90
2342092,60
2342118,120
2352031,75
2411247,60
2411289,30
2412443,60
2412649,195
2412885,30
2412928,75
2412940,90
2413004,30
2413059,30
2413091,60
2413092,60
2413105,75
2413108,75
2413119,45
2413131,45
2413135,45
2422108,45
2432011,60
2432182,75
2432208,30
2451112,75
2452268,135
2512412,90
2512488,90
2512657,15
2512719,60
2512736,90
2512737,45
2522238,75
2522243,75
2522244,75
2522245,90
2552115,45
2552161,45
2610121,60
2612073,60
2612346,15
2612541,135
2612555,60
2612568,30
2612583,90
2612606,120
2612607,30
2622078,60
2630057,60
2631145,15
2631152,90
2632193,195
2632206,75
2632237,45
2632263,75
2632279,60
2632507,45
2632517,15
2632518,75
2632519,120
2652165,75
2652252,90
2711224,15
2712524,75
2712575,90
2722007,75
2722349,135
2722379,30
2722424,30
2722451,75
2722485,30
2752182,75
2752219,135
2752281,60
2812133,60
2812166,60
2812277,75
2812718,60
2812725,60
2812729,45
2812738,165
2812739,105
2812740,60
2852125,30
2852169,90
2852345,30
2852364,45
2852368,150
2852369,90
2912118,60
2912264,75
2912282,45
2912316,90
3112049,225
3122063,30
3122077,75
3122083,30
3122090,30
3210149,60
3222027,30
3222028,15
3332053,90
3342015,120
3412085,30
3452002,30
3452010,15
3512047,90
3632034,90
3712033,60
3722051,120
3812035,30
3812036,180
4122066,0
5111146,60
5141032,90
5222012,60
5332132,75
5342037,105
5411031,60
5412116,60
5412221,60
5511131,60
5522020,75
5522050,90
5652029,60
5711086,90
5752067,60
6112072,60
6112114,30
6112388,30
6112396,30
6112433,45
6112434,150
6112435,60
6112436,105
6121155,60
6122048,150
6122292,90
6122540,210
6122632,60
6122698,30
6122735,75
6122736,90
6122762,135
6122763,45
6122772,90
6122773,90
6132191,120
6132195,150
6141027,30
6142101,90
6152160,60
6152189,45
6152195,90
6152218,30
6152221,120
6152301,45
6152313,90
6152332,60
6152517,60
6152550,60
6152598,285
6152634,90
6152645,60
6152647,45
6152658,135
6152667,120
6152668,60
6152669,60
6152670,75
6152671,90
6212125,240
6212360,60
6212398,0
6212467,30
6212477,60
6212495,60
6212514,90
6212541,0
6212579,90
6212589,120
6212590,60
6222235,120
6222236,60
6232219,90
6232230,45
6232244,105
6232260,120
6232262,225
6232263,135
6252219,90
6252378,120
6252382,45
6252391,45
6312039,60
6312116,60
6312500,90
6312535,90
6312559,45
6312570,45
6322157,45
6322190,15
6322269,30
6322270,60
6322334,180
6322338,120
6331012,90
6332200,60
6332288,75
6332295,30
6342072,45
6342084,60
6342087,45
6412148,345
6412190,60
6412327,60
6412555,75
6412644,120
6412666,60
6412670,120
6412675,150
6412677,120
6412678,60
6422007,30
6422044,150
6432044,60
6432132,45
6452035,60
6452136,60
6452139,90
6512336,90
6512348,60
6512415,180
6522053,60
6542018,105
6552073,180
6612107,60
6612335,60
6612343,90
6612346,90
6612356,90
6621006,75
6622158,60
6622170,90
6622194,135
6631018,60
6632263,90
6632266,90
6632270,60
6632274,120
6632289,60
6632291,210
6632294,45
6632296,30
6632298,90
6632299,120
6652135,90
6652146,75
6652156,120
6712061,60
6712073,30
6712234,60
6722126,60
6722275,120
6732092,60
6732117,45
6752151,45
6752152,165
6811119,60
6812142,15
6812210,90
6812330,60
6812417,30
6812423,60
6812436,45
6812442,105
6812445,120
6852180,30
6852232,90
6912130,30
6912175,90
6922021,90
6991031,30
7122101,60
7132022,90
7152034,60
7152105,210
7152106,90
7152107,90
7212075,60
7212076,120
7232028,60
7232030,90
7252061,210
7252062,120
7312039,0
7332035,60
7332040,150
7512075,120
7622027,90
7632028,150
7722036,60
7752020,120
7812052,30
7812053,135
7812054,60
7852032,150
7912024,15
8511077,45
9111022,90
9112082,90
9112196,60
9121106,150
9122300,0
9122305,75
9122352,60
9122365,150
9132090,45
9152041,45
9152287,120
9152288,120
9212167,60
9212205,15
9212273,60
9232092,180
9251021,60
9252084,60
9252149,90
9252182,135
9252183,90
9312200,90
9332109,60
9332119,90
9412264,135
9432031,60
9442018,90
9451010,90
9452046,60
9522045,90
9551003,30
9552041,90
9622078,195
9712162,90
9722100,60
9722108,45
9752074,45
9912085,90
9912089,90
9922014,90
10112176,90
10122267,30
10122291,90
10212214,60
10221108,60
10312194,60
10312223,120
10321078,0
10342016,60
10412119,15
10412247,45
10412248,60
10412249,60
10612104,60
10711001,120
10712115,0
10722089,60
10852087,90
10912073,0
11112194,60
11122167,15
11122280,0
11122345,60
11122349,45
11122352,45
11122359,60
11122360,60
11152198,60
11152276,90
11212243,60
11212247,90
11212255,60
11212259,90
11222077,75
11232095,60
11232096,135
11252075,60
11252154,60
11312019,90
11312218,60
11322034,90
11322099,60
11322116,30
11332112,60
11332113,60
11332114,105
11332115,60
11412215,60
11412281,60
11412285,45
11412288,90
11432056,60
11512011,60
11512028,75
11512193,60
11512196,150
11612101,60
11612131,30
11612133,45
11612135,60
11632146,60
11632147,60
11712051,60
11712140,30
11712147,60
11732048,180
11812053,60
11812151,45
11812160,60
11852086,45
11922006,60
12151053,90
12152146,60
12412144,60
12512077,60
12542009,30
12611018,30
12612073,90
12712077,60
12722053,60
12812110,75
12812128,60
14111048,75
14121052,60
14122257,90
14132111,75
14212302,90
14222079,75
14252067,60
14312153,90
14312160,60
14312165,120
14332142,45
14412382,90
14412407,60
14512013,90
14512016,75
14512269,285
14512274,90
14512275,150
14611024,105
14611033,90
14722010,15
14722085,75
14722182,90
14751002,90
14812035,90
14912126,105
15111000,60
15121015,45
15122206,90
15122213,60
15122275,30
15132058,60
15142028,90
15142041,60
15152214,60
15212185,90
15212190,60
15212197,60
15212217,180
15222116,120
15232086,90
15251006,60
15252184,30
15312010,60
15312194,60
15332099,60
15332107,210
15411006,60
15412008,90
15412156,15
15512187,30
15512201,60
15522058,90
15552029,60
15611002,60
15612119,60
15612149,150
15632122,60
15652035,60
15652040,60
15711008,90
15712160,75
15722121,60
15752060,60
15811014,60
15812161,60
15812163,60
15812167,60
15852079,60
15912041,30
16111032,60
16122232,90
16122376,30
16122474,135
16122475,135
16132106,0
16142045,45
16142067,60
16152345,60
16152368,60
16152401,90
16152450,45
16152456,105
16212159,45
16212325,75
16212368,45
16212370,45
16312033,60
16312380,90
16322081,75
16322141,60
16322200,75
16322211,255
16322212,90
16322214,90
16342059,0
16422032,75
16512230,60
16512300,120
16552052,60
16612146,60
16612231,15
16612247,90
16612248,0
16622143,0
16622158,60
16632184,105
16712187,60
16732067,90
16752075,60
16812278,60
16812295,90
16852103,60
16852125,60
16852145,75
17152141,60
17152147,45
17212090,90
17252082,90
17312088,75
17322059,60
17412147,75
18151051,75
18251019,60
18312041,120
18622037,60
18722023,45
18751007,60
19312031,90
19712003,30
19812133,45
20412105,45
21152060,15
21212128,150
21311026,60
21321017,30
21412174,60
21712045,75
21812134,45
22311017,60
22412060,75
23132020,60
23132090,60
23212301,60
23212334,45
23222148,30
23252112,60
23312222,90
23322187,60
23412415,75
23412430,15
23432056,90
23512234,45
23512313,75
23612006,90
23622103,90
23622129,90
23622152,45
23652069,60
23711020,90
23712128,30
23712276,60
23752077,15
23812262,75
24652010,60
25122303,90
25152055,90
25152116,60
25152189,120
25152203,90
25152370,105
25152380,120
25212253,30
25222119,90
25232060,60
25252167,120
25322055,60
25412057,60
25412198,60
25412315,90
25432075,75
25442046,45
25522046,120
25632109,150
25752024,90
25812169,90
25852013,225
25852016,75
25912124,15
26452052,90
26512135,120
26512154,30
26552042,60
26552045,15
26632016,75
26652043,60
27122107,30
28112051,150
28132089,15
28152057,60
28152263,120
28152265,150
28152279,120
28152281,90
28212203,45
28232020,90
28232022,60
28232058,90
28252051,90
28252094,60
28312174,75
28312184,105
28332027,90
28332057,60
28352018,75
28352019,60
28412257,60
28431000,60
28612090,90
28632107,90
28652012,60
28812154,120
28852078,45
28852080,60
28922009,30
29112292,150
29122245,150
29122294,60
29142041,60
29212070,60
29212137,90
29212264,150
29222100,120
29232087,150
29239584,150
29252168,60
29252191,90
29312131,45
29322150,90
29332139,90
29352007,15
29515211,60
29542009,75
29612143,150
29622062,120
29712133,30
29712151,60
29722214,120
29732067,90
29852057,15
31112017,30
31112028,60
31412041,75
32112209,150
32122317,60
32122318,45
32132076,60
32152221,60
32152225,90
32152299,390
32152306,60
32212138,30
32212265,30
32212284,30
32212296,105
32222115,60
32222117,195
32222118,90
32252190,60
32252194,120
32252196,90
32312138,60
32312259,240
32312278,30
32312284,60
32322143,60
32332151,15
32352026,60
32412105,60
32412226,30
32412242,60
32412325,60
32432017,60
32512106,60
32512241,210
32512246,60
32552024,90
32552032,60
32612033,30
32612126,75
32612147,60
32632114,75
32632146,15
32632148,60
32652006,75
32712036,90
32712124,60
32712139,180
32712160,360
32722124,120
32812119,105
32812204,90
32832010,60
32852118,180
32912086,60
32912087,60
32912088,30
34122072,150
34122073,60
34152064,0
34252028,60
34312048,135
34552005,45
34552010,105
34812074,45
34912020,0
35112192,75
35112197,15
35122357,30
35122411,30
35122433,105
35132161,90
35152126,120
35152322,30
35152349,150
35152354,90
35212101,90
35212215,60
35212283,30
35212289,75
35212295,60
35212312,60
35222088,90
35222096,60
35222125,60
35252192,60
35252212,60
35252216,135
35312208,135
35312213,60
35312214,60
35322206,120
35322210,60
35322214,60
35332010,75
35412336,60
35412355,30
35412372,120
35412376,75
35432083,165
35452094,60
35512315,45
35512316,30
35522092,75
35612250,165
35612253,75
35612265,60
35612268,75
35622137,15
35632184,60
35632236,60
35652054,30
35652059,165
35712151,45
35712287,135
35712289,60
35712290,60
35722007,60
35722173,135
35722176,75
35722191,45
35812289,45
35812304,150
35812309,60
35852095,60
35852170,45
35852183,60
35852185,60
36112245,60
36112247,105
36122398,60
36122450,60
36122479,60
36122570,60
36122580,105
36132131,90
36142042,30
36152472,120
36212048,60
36212128,60
36222170,60
36232144,60
36232173,60
36312347,30
36322038,30
36322150,30
36322168,90
36332219,90
36352026,30
36412369,60
36442008,30
36512216,60
36512302,60
36522052,90
36542033,60
36612120,0
36622083,120
36622088,60
36622105,60
36632109,60
36632132,60
36632142,60
36632149,105
36712181,180
36712187,30
36722153,60
36732014,60
36732049,120
36812210,90
36812266,60
36812276,90
36852148,60
36852155,120
36912118,90
37112229,60
37122094,60
37122252,60
37122481,60
37122494,120
37122495,90
37122496,90
37132166,60
37142047,75
37142074,165
37152043,60
37152362,30
37152389,75
37152394,90
37152395,90
37212287,45
37212326,60
37212371,120
37212379,45
37212380,150
37212381,60
37212382,120
37222064,60
37222119,90
37232174,120
37232180,180
37240003,60
37252024,60
37252202,60
37252219,60
37252220,210
37252221,90
37252222,60
37252223,120
37252225,90
37312102,75
37312261,45
37312263,45
37312264,30
37312268,120
37322098,15
37322130,60
37322187,60
37322234,60
37332076,15
37332110,90
37342032,45
37412336,30
37412472,45
37452111,30
37452116,165
37512077,60
37512356,60
37512363,210
37512364,120
37512366,105
37522060,120
37612201,120
37612289,210
37612291,120
37622085,60
37622197,120
37632264,60
37632283,90
37632285,180
37632286,210
37652083,120
37712115,90
37712348,165
37712364,90
37722036,60
37722162,60
37722193,30
37722223,120
37752113,90
37812334,120
37812338,30
37812339,90
37812340,240
37812342,105
37852178,60
37852184,75
37852188,120
37852190,90
37912094,210
37922014,75
38112165,30
38112292,90
38122056,60
38122447,90
38122464,60
38122465,60
38152182,60
38152257,60
38152458,165
38152459,90
38152460,120
38152462,90
38152463,90
38212162,90
38212225,90
38212241,120
38212353,90
38212355,90
38212356,165
38222156,60
38222165,60
38222166,90
38232074,60
38232131,75
38312306,60
38312332,90
38312333,90
38312334,60
38322057,60
38322198,60
38322218,60
38332200,120
38332202,90
38342029,15
38412429,60
38412440,60
38412441,195
38412442,60
38422032,90
38512293,195
38522047,90
38552055,90
38612102,30
38612200,75
38612237,90
38632142,60
38632186,60
38632190,60
38642006,150
38652081,60
38712150,75
38722183,60
38732072,60
38732074,120
38812024,105
38812272,60
38812276,60
38812289,60
38912096,60
38912098,120
38912099,60
39112075,90
39122064,60
39122146,90
39152023,60
39152121,90
39152125,60
39152139,180
39212097,120
39212111,90
39232037,60
39252079,135
39252081,180
39312062,90
39312101,60
39412094,60
39432023,15
39432036,60
39512061,90
39612071,90
39622005,0
39622037,60
39722049,60
40122266,105
40132109,60
40132111,90
40152277,60
40212049,45
40222047,150
40232048,60
40322125,90
40512187,60
40512189,15
40612125,60
40622068,30
40712153,135
40722016,30
40852086,105
41222016,120
41432012,60
42122036,75
42332012,90
42432025,30
42452011,60
42812075,105
43132010,60
43132034,90
43142019,0
43152122,120
43152137,210
43212095,60
43212102,30
43312089,60
43332042,60
43332052,180
43432021,60
43512008,60
43512057,15
43512097,150
43522030,60
43612059,150
43622028,15
43632041,60
43632057,60
43912028,240
44122116,90
44222005,45
44232094,60
44252063,30
44252070,90
44252071,75
44252072,90
44312069,150
44312090,90
44412076,30
44522035,90
44552022,15
44632065,210
44732009,60
44752036,60
44812085,120
44912041,150
45112010,60
45112043,15
45112179,75
45112185,45
45112186,45
45112187,90
45122095,60
45122226,75
45122321,15
45132018,75
45152111,75
45152253,75
45152269,60
45152270,60
45152297,60
45152298,75
45212078,45
45212133,150
45222017,75
45222075,120
45222107,0
45232085,45
45252172,45
45252179,90
45312051,60
45312058,60
45312184,75
45312245,60
45322022,30
45322136,15
45322142,75
45412012,90
45412179,60
45412219,45
45412260,60
45412273,90
45452057,60
45452062,30
45452063,45
45452064,45
45512079,60
45512086,60
45612049,60
45612126,90
45612132,30
45612136,105
45632119,60
45632122,135
45652045,75
45722006,90
45722021,60
45722139,90
45722150,45
45732016,90
45732052,75
45752080,60
45812055,60
45812089,60
45832002,75
45852088,90
45912065,30
46812021,60
47152081,120
47312044,150
47412079,90
47722026,90
47812016,30
50852023,150
53112141,90
53112219,60
53112422,60
53112452,90
53122629,75
53122650,60
53122752,60
53122754,105
53122782,15
53122783,45
53122787,165
53122788,195
53122789,180
53122790,90
53122791,90
53132178,60
53132202,90
53132223,60
53132224,60
53132225,120
53132226,75
53142017,30
53152082,75
53152225,60
53152327,15
53152438,60
53152649,60
53152704,75
53152729,75
53152732,150
53152734,90
53212139,60
53212178,60
53212478,60
53212533,60
53212585,30
53212593,45
53212608,75
53212614,120
53212645,60
53212653,150
53212654,120
53222091,60
53222188,75
53222267,90
53232103,30
53232238,45
53252463,45
53252467,45
53252474,135
53312011,60
53312041,60
53312181,75
53312310,75
53312572,120
53312574,105
53322379,60
53332197,30
53332335,30
53332336,90
53332341,75
53332342,105
53342050,75
53342090,270
53342102,60
53342103,90
53412558,30
53412622,45
53412729,45
53412736,15
53412745,90
53412746,90
53412747,105
53412748,90
53432164,90
53432174,45
53452149,150
53452156,45
53452158,90
53512176,60
53512425,135
53512483,45
53512484,90
53512486,60
53522075,75
53522078,120
53522142,225
53522148,90
53552026,30
53552082,30
53552102,15
53612355,60
53612356,90
53612357,45
53612360,45
53622007,75
53622212,15
53622213,45
53622216,225
53632245,60
53632266,15
53632308,30
53632315,90
53652170,45
53712130,60
53712251,45
53712304,60
53712332,30
53712382,60
53712391,90
53712392,150
53712394,0
53722100,30
53722194,105
53722229,45
53722326,165
53722329,150
53732032,45
53732089,75
53732099,105
53752184,90
53812318,60
53812382,45
53812400,15
53812408,15
53812411,75
53812452,60
53812455,120
53852232,75
53852246,105
53912194,90
54112072,90
54132060,90
54332041,105
54332042,120
54432026,120
54512173,45
54512183,60
54522036,75
54612142,90
54712083,90
54722100,60
54752059,30
54852089,60
55112156,90
55122044,60
55122111,60
55122260,60
55132027,45
55152257,120
55212195,60
55232033,60
55232040,90
55242002,60
55312217,75
55322064,60
55412229,60
55412246,120
55432049,60
55432051,120
55452049,60
55512064,15
55532010,60
55552026,90
55612133,60
55632114,30
55652048,60
55712094,60
55722088,60
55752030,120
55852091,90
56122103,120
56152086,60
56212023,120
56212065,60
56212069,60
56312029,30
56350005,30
56612022,90
56652019,60
56712009,60
56712037,60
56830002,60
57112020,60
57112063,90
57122124,60
57132025,120
57212057,60
57212072,90
57232050,90
57312163,60
57312179,60
57312184,120
57322076,60
57332034,60
57412100,0
57512046,60
57612055,60
57632030,60
57732028,120
57752011,60
57912038,90
58152033,60
58222018,45
58232008,30
58322017,60
58632027,60
58812014,75
58852019,30
60112062,60
60112115,90
60122106,60
60122157,60
60122162,60
60122173,60
60122181,60
60122184,60
60122185,180
60132041,60
60132048,150
60142001,60
60152039,60
60152133,60
60152134,60
60212122,210
60222039,60
60232045,60
60252093,90
60252094,165
60312119,135
60312121,90
60312122,60
60332065,180
60342028,60
60412068,60
60412111,60
60412156,60
60412165,90
60512091,90
60552015,105
60552018,90
60552020,90
60612067,60
60612068,240
60622014,60
60622043,60
60632049,30
60722010,30
60722042,60
60752018,60
60752032,90
60752033,60
60752034,60
60812024,60
60812097,120
60812099,90
60852048,90
61122089,60
61122093,15
61152080,75
61212076,45
61212078,120
61312055,90
61322040,45
61322042,75
61512027,60
61652032,120
61722026,60
61812053,0
62122138,30
62122141,60
62152050,60
62152154,60
62252053,150
62312080,120
62322051,45
62322058,90
62412149,60
62412157,60
62612085,60
62622021,0
62622095,120
62652022,210
62712003,30
62722065,60
63112102,60
63112144,60
63112223,30
63112247,120
63112249,0
63112286,15
63112313,80
63112314,120
63122037,60
63122547,75
63122550,30
63122570,105
63122585,45
63122588,120
63122598,45
63122602,120
63122604,165
63122607,120
63122608,120
63122609,90
63122610,60
63122612,75
63132181,90
63132224,90
63142022,90
63152033,230
63152165,45
63152420,30
63152478,75
63152533,30
63152575,60
63152577,75
63152610,45
63152614,30
63152619,135
63152620,45
63212426,60
63212447,75
63212465,60
63212475,90
63212479,15
63212481,135
63222176,90
63222293,90
63222302,90
63222303,60
63232038,60
63232067,15
63232103,60
63232202,45
63232207,150
63252198,45
63252272,15
63252274,30
63252299,60
63252309,45
63252323,45
63252324,180
63312213,15
63312320,60
63312324,45
63312346,30
63312349,60
63322120,30
63322156,75
63322297,45
63322307,210
63332120,75
63332146,30
63332178,60
63332182,90
63342050,60
63412199,30
63412255,105
63412481,15
63412560,90
63412633,60
63412674,90
63412691,90
63412697,60
63412701,120
63412702,60
63422017,60
63422034,75
63432130,60
63432134,45
63452127,90
63452157,75
63452171,105
63512062,50
63512288,90
63512389,30
63512395,75
63512426,0
63512464,60
63512469,30
63512493,30
63512501,30
63512511,120
63512512,165
63512513,135
63522099,30
63522222,120
63522224,45
63522225,135
63522226,75
63522227,240
63522228,120
63522229,90
63532008,60
63542012,75
63612154,90
63612201,60
63612350,30
63612366,45
63612369,60
63612374,45
63612376,105
63612378,225
63622129,30
63622191,60
63622215,60
63622219,75
63622220,105
63622222,105
63622224,60
63622230,60
63632099,60
63632272,60
63632314,30
63632330,120
63632334,60
63632343,45
63632347,75
63632358,45
63652067,60
63652071,45
63652083,75
63652098,75
63712255,60
63712407,60
63712419,30
63712428,75
63712432,45
63712436,45
63712442,90
63712444,60
63722034,60
63722132,30
63722255,15
63722298,60
63722314,90
63722315,190
63722316,135
63722317,165
63722318,90
63752164,60
63752166,45
63812201,70
63812442,15
63812456,15
63812488,45
63812490,45
63812491,180
63812493,40
63812497,15
63812498,165
63812501,75
63852033,60
63852215,120
63852229,135
63852249,60
63912112,180
64452006,150
65152007,60
65212056,150
65312078,90
65332031,60
65412067,210
65412068,90
65522011,60
65712036,30
65852024,60
66112129,60
66122134,30
66122158,30
66122191,60
66122196,105
66152136,30
66152174,60
66152200,75
66152207,120
66212108,30
66212110,60
66212111,210
66212137,60
66252068,90
66252123,120
66312118,120
66322094,90
66322098,30
66322100,90
66322102,180
66322106,60
66332052,90
66412093,90
66512114,60
66512130,90
66612084,30
66622060,60
66632077,120
66632101,195
66652041,120
66722081,60
66722086,45
66732024,30
66752049,135
66812111,60
66812115,90
66912072,45
67122051,60
67152064,60
67412096,30
68003737,60
68004140,60
68004360,120
68004900,30
68005408,30
68005502,120
68005531,60
68005553,150
68005573,30
68005584,180
68005615,60
68005619,180
68005637,150
68005643,135
68005644,165
68005654,45
68005655,60
68005666,165
68005671,30
68005672,30
68005673,150
68005684,60
68005690,90
68005698,90
68005706,60
68005707,90
68005709,90
68005712,90
69222029,90
69322010,30
69322014,60
69412115,105
69612026,0
69722036,60
69812067,45
69812096,120
69830002,120
70112038,90
70112113,150
70122032,60
70122049,60
70122106,75
70132011,90
70152087,135
70212156,30
70232048,90
70312121,60
70312141,120
70322031,75
70332011,120
70332037,60
70332075,30
70412183,90
70512008,75
70512067,60
70612038,60
70612092,120
70712118,60
70752041,105
70812054,90
71112010,60
71122165,120
71122167,60
71152069,75
71152150,135
71152152,165
71152153,105
71212090,75
71212153,45
71212157,90
71222042,120
71252084,120
71252085,180
71312077,120
71322070,60
71412052,75
71412063,105
71412105,0
71412109,60
71412120,30
71412127,90
71512122,60
71512125,120
71552031,105
71612073,75
71612077,90
71612079,90
71622052,45
71622054,180
71652007,45
71712030,15
71712065,30
71722041,75
71722063,60
71732030,150
71752023,135
71812103,30
71852026,75
71852027,90
72112042,90
72112051,0
72122120,15
72122134,15
72122136,60
72142027,0
72142030,60
72152009,90
72152082,0
72212011,90
72212082,0
72212085,0
72212090,90
72252061,90
72252068,90
72252069,0
72332060,60
72412071,60
72412091,60
72512054,0
72512055,0
72522018,0
72632020,60
72732013,60
72752020,90
72752039,60
72752042,60
72912062,0
73112078,60
73122100,195
73122108,60
73122111,75
73122114,105
73152102,90
73152103,90
73222010,60
73222043,90
73252068,180
73252069,60
73352010,60
73412113,90
73552024,60
73622007,60
73712025,60
73752016,60
73852020,60
73852035,60
75112061,60
75122114,75
75122120,60
75152061,105
75152077,15
75222033,120
75222034,60
75252039,75
75322009,60
75322058,60
75412060,60
75442011,90
75732021,75
75852037,60
75852039,0
76112050,150
76122102,120
76132041,60
76212048,75
76222017,90
76312056,90
76522038,60
76612028,30
76612033,60
76712020,255
77142022,60
77612006,0
77722083,30
78112010,60
78112074,90
78122095,225
78122161,60
78132049,90
78132050,60
78212150,30
78222035,90
78322027,120
78322056,90
78332048,120
78412107,15
78412138,15
78412164,120
78512074,60
78522050,90
78612086,120
78622043,165
78622044,60
78632067,45
78732029,120
78812051,45
80212066,60
80312062,60
80712024,60
81112052,60
81252047,75
81852007,90
82112021,90
82142016,60
82212096,30
82312066,90
82312100,60
82412072,90
82512078,60
82522030,60
82552016,60
82622033,90
82632035,60
82912004,60
82912024,30
83112067,75
83132026,150
83152100,30
83212100,90
83222072,165
83322075,60
83322078,60
83512120,60
83512121,30
83512125,60
83612060,60
83612077,60
83612079,120
83622039,90
83712074,15
83722017,60
83722054,60
83752047,120
83812114,60
83912021,150
84122034,60
84122071,120
84132013,75
84132022,60
84140008,30
84152021,75
84152043,60
84152046,60
84212031,180
84212063,75
84212064,90
84252050,0
84252052,90
84252054,60
84322048,135
84412070,60
84440003,90
84440007,90
84440008,135
84452022,0
84512016,60
84512056,75
84512072,60
84522040,60
84612018,90
84622027,30
84632034,75
84730007,75
84752010,60
84752014,60
84812036,15
84812062,120
84912009,30
85110020,90
85110050,75
85120104,30
85150086,60
85150112,60
85210032,75
85210035,90
85210113,180
85220042,20
85220054,90
85230040,110
85250063,60
85250064,75
85310042,50
85310068,30
85310073,90
85330004,45
85350008,75
85430029,30
85430030,30
85440011,60
85450010,120
85520032,210
85540002,0
85610010,60
85610067,195
85620058,75
85630001,180
85630069,60
85710065,105
85710075,90
85710082,60
85710088,120
85720022,75
85730023,75
85750046,60
85810012,60
85810020,60
85810070,90
85850040,30
85850048,60
85850050,30
85910018,90
86110048,120
86120007,75
86120018,75
86120047,90
86120092,120
86120099,90
86150047,90
86210007,60
86210063,0
86230021,60
86230025,45
86250010,75
86250024,120
86250029,60
86310004,60
86310006,75
86320018,75
86330001,60
86330013,60
86410083,90
86410107,75
86410108,90
86450017,60
86510045,90
86510050,45
86510054,75
86510059,135
86510061,150
86510062,210
86510063,210
86520016,60
86610034,60
86630007,60
86630067,60
86650012,135
86710025,60
86710032,60
86710058,60
86710065,120
86710066,60
86710067,195
86750012,60
86810015,60
86810024,60
86810065,90
86810097,90
86810101,75
86810110,120
86810111,60
86850038,60
86850052,60
86850054,90
87212125,30
87212140,90
87322026,90
87322072,60
87342009,60
87412075,45
87412105,60
87412135,60
87452035,90
87512045,60
87522039,165
87612065,60
87722045,60
88112034,60
88152022,60
88152055,30
88152065,150
88212044,105
88220018,105
88350002,90
88420003,60
88522005,120
88612028,60
88912004,60
89110010,60
89120084,90
89150026,30
89150054,90
89230034,30
89310040,45
89320040,60
89320043,90
89410084,60
89410087,150
89430029,240
89510064,210
89610017,105
89610040,120
89610049,90
89620027,60
89630035,60
89710065,120
89720038,60
89850001,240
90110050,75
90120113,30
90120123,45
90120125,195
90120126,150
90150095,120
90210015,90
90210136,180
90250064,45
90320037,75
90330027,60
90330070,15
90450015,60
90450017,15
90510060,60
90550013,60
90550021,45
90620035,45
90620036,150
90710058,45
90720043,45
90810055,0
90810066,60
92112046,0
92152082,0
92252035,60
92350007,60
92432002,90
92452016,30
92512062,30
92622025,45
92712067,60
92722036,60
93122194,60
