,顧客ID,閲覧ページ数/セッション
0,000121059,76.0
1,000321123,0.0
2,000331001,90.0
3,000431039,2.0
4,000512107,101.0
5,000612072,5.0
6,000651028,1.0
7,000651042,19.0
8,000711087,59.0
9,000721111,29.0
10,000741001,0.0
11,000751046,55.0
12,000812016,2.0
13,001110167,0.0
14,001120290,0.0
15,001120350,65.0
16,001150376,1.0
17,001150435,6.0
18,001310100,0.0
19,001321014,25.0
20,001511020,0.0
21,001730012,2.0
22,001811022,1.0
23,002110094,24.0
24,002110175,0.0
25,002112136,1.0
26,002112528,99.0
27,002112548,15.0
28,002112659,31.0
29,002112660,0.0
30,002112676,93.0
31,002120096,33.0
32,002120206,38.0
33,002121269,0.0
34,002121295,22.0
35,002122338,48.0
36,002122348,8.0
37,002122370,276.0
38,002122607,4.0
39,002122651,4.0
40,002122737,31.0
41,002122857,18.0
42,002122874,18.0
43,002122990,0.0
44,002123168,12.0
45,002123189,314.0
46,002123192,0.0
47,002123228,19.0
48,002123244,9.0
49,002123261,36.0
50,002123272,0.0
51,002123295,24.0
52,002123297,23.0
53,002123298,19.0
54,002123300,39.0
55,002132352,32.0
56,002132353,31.0
57,002140012,0.0
58,002142134,0.0
59,002142152,17.0
60,002152059,0.0
61,002152765,1.0
62,002152833,24.0
63,002152849,32.0
64,002152923,3.0
65,002152955,82.0
66,002153002,2.0
67,002153051,1.0
68,002153095,16.0
69,002153138,0.0
70,002153142,7.0
71,002153166,0.0
72,002153173,6.0
73,002153174,68.0
74,002153175,35.0
75,002153176,60.0
76,002153177,28.0
77,002212263,14.0
78,002212366,47.0
79,002212894,64.0
80,002212967,39.0
81,002212971,0.0
82,002212973,26.0
83,002212976,25.0
84,002212978,88.0
85,002212979,186.0
86,002212980,23.0
87,002212981,31.0
88,002220105,348.0
89,002222176,17.0
90,002222195,72.0
91,002222307,38.0
92,002222375,114.0
93,002222388,0.0
94,002222401,0.0
95,002232351,14.0
96,002232369,81.0
97,002232383,20.0
98,002232386,41.0
99,002232387,35.0
100,002232388,57.0
101,002242010,47.0
102,002251012,9.0
103,002251240,1.0
104,002252268,12.0
105,002252292,29.0
106,002252403,18.0
107,002252456,0.0
108,002252531,127.0
109,002252541,0.0
110,002252564,0.0
111,002252646,30.0
112,002252697,12.0
113,002252703,51.0
114,002252704,2.0
115,002252708,25.0
116,002252709,1.0
117,002311149,19.0
118,002312096,0.0
119,002312708,0.0
120,002312793,0.0
121,002312794,75.0
122,002312797,21.0
123,002312870,7.0
124,002312875,1.0
125,002312876,27.0
126,002312881,47.0
127,002312890,4.0
128,002312894,75.0
129,002312895,85.0
130,002312897,79.0
131,002321013,0.0
132,002322187,35.0
133,002322335,0.0
134,002322538,0.0
135,002322551,0.0
136,002322599,9.0
137,002322604,5.0
138,002322609,3.0
139,002322615,10.0
140,002322616,79.0
141,002322621,0.0
142,002322625,109.0
143,002322627,22.0
144,002332270,96.0
145,002332313,86.0
146,002332460,5.0
147,002332530,92.0
148,002342092,0.0
149,002342118,45.0
150,002352031,1.0
151,002411247,26.0
152,002411289,37.0
153,002412443,3.0
154,002412649,22.0
155,002412885,22.0
156,002412928,0.0
157,002412940,0.0
158,002413004,2.0
159,002413059,3.0
160,002413091,162.0
161,002413092,4.0
162,002413105,11.0
163,002413108,0.0
164,002413119,0.0
165,002413131,1.0
166,002413135,0.0
167,002422108,0.0
168,002432011,13.0
169,002432182,20.0
170,002432208,177.0
171,002451112,0.0
172,002452268,4.0
173,002512412,95.0
174,002512488,0.0
175,002512657,6.0
176,002512719,26.0
177,002512736,1.0
178,002512737,55.0
179,002522238,4.0
180,002522243,0.0
181,002522244,23.0
182,002522245,74.0
183,002552115,179.0
184,002552161,0.0
185,002610121,0.0
186,002612073,12.0
187,002612346,0.0
188,002612541,37.0
189,002612555,0.0
190,002612568,22.0
191,002612583,0.0
192,002612606,14.0
193,002612607,43.0
194,002622078,9.0
195,002630057,158.0
196,002631145,13.0
197,002631152,4.0
198,002632193,3.0
199,002632206,6.0
200,002632237,0.0
201,002632263,0.0
202,002632279,10.0
203,002632507,59.0
204,002632517,6.0
205,002632518,1.0
206,002632519,32.0
207,002652165,0.0
208,002652252,24.0
209,002711224,50.0
210,002712524,45.0
211,002712575,0.0
212,002722007,35.0
213,002722349,0.0
214,002722379,37.0
215,002722424,1.0
216,002722451,1.0
217,002722485,9.0
218,002752182,17.0
219,002752219,2.0
220,002752281,21.0
221,002812133,14.0
222,002812166,3.0
223,002812277,0.0
224,002812718,84.0
225,002812725,84.0
226,002812729,54.0
227,002812738,2.0
228,002812739,50.0
229,002812740,48.0
230,002852125,0.0
231,002852169,10.0
232,002852345,0.0
233,002852364,2.0
234,002852368,6.0
235,002852369,34.0
236,002912118,0.0
237,002912264,29.0
238,002912282,0.0
239,002912316,76.0
240,003112049,9.0
241,003122063,18.0
242,003122077,0.0
243,003122083,0.0
244,003122090,4.0
245,003210149,0.0
246,003222027,26.0
247,003222028,54.0
248,003332053,27.0
249,003342015,42.0
250,003412085,3.0
251,003452002,11.0
252,003452010,3.0
253,003512047,37.0
254,003632034,92.0
255,003712033,31.0
256,003722051,83.0
257,003812035,34.0
258,003812036,105.0
259,004122066,12.0
260,005111146,0.0
261,005141032,5.0
262,005222012,96.0
263,005332132,16.0
264,005342037,86.0
265,005411031,1.0
266,005412116,17.0
267,005412221,0.0
268,005511131,12.0
269,005522020,0.0
270,005522050,49.0
271,005652029,1.0
272,005711086,22.0
273,005752067,17.0
274,006112072,21.0
275,006112114,28.0
276,006112388,59.0
277,006112396,58.0
278,006112433,3.0
279,006112434,45.0
280,006112435,25.0
281,006112436,39.0
282,006121155,53.0
283,006122048,520.0
284,006122292,54.0
285,006122540,15.0
286,006122632,0.0
287,006122698,72.0
288,006122735,45.0
289,006122736,9.0
290,006122762,0.0
291,006122763,35.0
292,006122772,10.0
293,006122773,33.0
294,006132191,1.0
295,006132195,38.0
296,006141027,48.0
297,006142101,29.0
298,006152160,18.0
299,006152189,59.0
300,006152195,0.0
301,006152218,8.0
302,006152221,48.0
303,006152301,23.0
304,006152313,0.0
305,006152332,40.0
306,006152517,11.0
307,006152550,52.0
308,006152598,4.0
309,006152634,0.0
310,006152645,25.0
311,006152647,8.0
312,006152658,19.0
313,006152667,1.0
314,006152668,41.0
315,006152669,128.0
316,006152670,112.0
317,006152671,101.0
318,006212125,2.0
319,006212360,37.0
320,006212398,3.0
321,006212467,7.0
322,006212477,0.0
323,006212495,21.0
324,006212514,0.0
325,006212541,0.0
326,006212579,0.0
327,006212589,17.0
328,006212590,28.0
329,006222235,0.0
330,006222236,31.0
331,006232219,0.0
332,006232230,4.0
333,006232244,12.0
334,006232260,1.0
335,006232262,175.0
336,006232263,22.0
337,006252219,0.0
338,006252378,6.0
339,006252382,36.0
340,006252391,2.0
341,006312039,4.0
342,006312116,1.0
343,006312500,2.0
344,006312535,27.0
345,006312559,6.0
346,006312570,20.0
347,006322157,119.0
348,006322190,37.0
349,006322269,26.0
350,006322270,160.0
351,006322334,29.0
352,006322338,59.0
353,006331012,15.0
354,006332200,13.0
355,006332288,14.0
356,006332295,0.0
357,006342072,75.0
358,006342084,21.0
359,006342087,0.0
360,006412148,0.0
361,006412190,127.0
362,006412327,31.0
363,006412555,30.0
364,006412644,0.0
365,006412666,18.0
366,006412670,2.0
367,006412675,39.0
368,006412677,37.0
369,006412678,67.0
370,006422007,41.0
371,006422044,117.0
372,006432044,30.0
373,006432132,18.0
374,006452035,42.0
375,006452136,8.0
376,006452139,38.0
377,006512336,15.0
378,006512348,6.0
379,006512415,28.0
380,006522053,108.0
381,006542018,23.0
382,006552073,33.0
383,006612107,48.0
384,006612335,1.0
385,006612343,91.0
386,006612346,80.0
387,006612356,44.0
388,006621006,6.0
389,006622158,81.0
390,006622170,0.0
391,006622194,92.0
392,006631018,32.0
393,006632263,0.0
394,006632266,0.0
395,006632270,16.0
396,006632274,14.0
397,006632289,19.0
398,006632291,0.0
399,006632294,23.0
400,006632296,1.0
401,006632298,69.0
402,006632299,56.0
403,006652135,30.0
404,006652146,0.0
405,006652156,98.0
406,006712061,3.0
407,006712073,6.0
408,006712234,1.0
409,006722126,3.0
410,006722275,67.0
411,006732092,2.0
412,006732117,14.0
413,006752151,33.0
414,006752152,43.0
415,006811119,77.0
416,006812142,47.0
417,006812210,0.0
418,006812330,27.0
419,006812417,36.0
420,006812423,0.0
421,006812436,4.0
422,006812442,57.0
423,006812445,21.0
424,006852180,13.0
425,006852232,61.0
426,006912130,25.0
427,006912175,30.0
428,006922021,37.0
429,006991031,20.0
430,007122101,56.0
431,007132022,38.0
432,007152034,12.0
433,007152105,63.0
434,007152106,74.0
435,007152107,114.0
436,007212075,59.0
437,007212076,50.0
438,007232028,22.0
439,007232030,41.0
440,007252061,48.0
441,007252062,61.0
442,007312039,1.0
443,007332035,1.0
444,007332040,273.0
445,007512075,10.0
446,007622027,0.0
447,007632028,123.0
448,007722036,55.0
449,007752020,3.0
450,007812052,114.0
451,007812053,46.0
452,007812054,188.0
453,007852032,5.0
454,007912024,51.0
455,008511077,48.0
456,009111022,4.0
457,009112082,5.0
458,009112196,39.0
459,009121106,68.0
460,009122300,74.0
461,009122305,106.0
462,009122352,3.0
463,009122365,27.0
464,009132090,6.0
465,009152041,34.0
466,009152287,27.0
467,009152288,66.0
468,009212167,100.0
469,009212205,11.0
470,009212273,81.0
471,009232092,1.0
472,009251021,45.0
473,009252084,0.0
474,009252149,4.0
475,009252182,26.0
476,009252183,40.0
477,009312200,3.0
478,009332109,0.0
479,009332119,14.0
480,009412264,0.0
481,009432031,37.0
482,009442018,3.0
483,009451010,30.0
484,009452046,0.0
485,009522045,0.0
486,009551003,2.0
487,009552041,0.0
488,009622078,51.0
489,009712162,51.0
490,009722100,232.0
491,009722108,31.0
492,009752074,2.0
493,009912085,0.0
494,009912089,9.0
495,009922014,91.0
496,010112176,37.0
497,010122267,1.0
498,010122291,69.0
499,010212214,0.0
500,010221108,1.0
501,010312194,1.0
502,010312223,0.0
503,010321078,0.0
504,010342016,0.0
505,010412119,108.0
506,010412247,3.0
507,010412248,0.0
508,010412249,0.0
509,010612104,0.0
510,010711001,5.0
511,010712115,1.0
512,010722089,0.0
513,010852087,72.0
514,010912073,61.0
515,011112194,44.0
516,011122167,27.0
517,011122280,1.0
518,011122345,3.0
519,011122349,13.0
520,011122352,19.0
521,011122359,1.0
522,011122360,46.0
523,011152198,48.0
524,011152276,13.0
525,011212243,2.0
526,011212247,32.0
527,011212255,43.0
528,011212259,53.0
529,011222077,36.0
530,011232095,0.0
531,011232096,2.0
532,011252075,29.0
533,011252154,0.0
534,011312019,0.0
535,011312218,38.0
536,011322034,27.0
537,011322099,14.0
538,011322116,155.0
539,011332112,4.0
540,011332113,0.0
541,011332114,42.0
542,011332115,0.0
543,011412215,6.0
544,011412281,0.0
545,011412285,1.0
546,011412288,69.0
547,011432056,4.0
548,011512011,9.0
549,011512028,43.0
550,011512193,0.0
551,011512196,16.0
552,011612101,77.0
553,011612131,0.0
554,011612133,0.0
555,011612135,134.0
556,011632146,0.0
557,011632147,0.0
558,011712051,172.0
559,011712140,53.0
560,011712147,20.0
561,011732048,68.0
562,011812053,63.0
563,011812151,52.0
564,011812160,0.0
565,011852086,14.0
566,011922006,34.0
567,012151053,0.0
568,012152146,43.0
569,012412144,0.0
570,012512077,22.0
571,012542009,23.0
572,012611018,2.0
573,012612073,0.0
574,012712077,32.0
575,012722053,112.0
576,012812110,0.0
577,012812128,24.0
578,014111048,0.0
579,014121052,0.0
580,014122257,0.0
581,014132111,5.0
582,014212302,1.0
583,014222079,1.0
584,014252067,44.0
585,014312153,1.0
586,014312160,0.0
587,014312165,2.0
588,014332142,90.0
589,014412382,165.0
590,014412407,0.0
591,014512013,4.0
592,014512016,2.0
593,014512269,0.0
594,014512274,35.0
595,014512275,8.0
596,014611024,66.0
597,014611033,0.0
598,014722010,23.0
599,014722085,0.0
600,014722182,0.0
601,014751002,2.0
602,014812035,0.0
603,014912126,5.0
604,015111000,14.0
605,015121015,19.0
606,015122206,0.0
607,015122213,0.0
608,015122275,62.0
609,015132058,23.0
610,015142028,77.0
611,015142041,2.0
612,015152214,8.0
613,015212185,0.0
614,015212190,6.0
615,015212197,0.0
616,015212217,24.0
617,015222116,0.0
618,015232086,30.0
619,015251006,0.0
620,015252184,15.0
621,015312010,18.0
622,015312194,0.0
623,015332099,2.0
624,015332107,69.0
625,015411006,86.0
626,015412008,0.0
627,015412156,33.0
628,015512187,12.0
629,015512201,0.0
630,015522058,70.0
631,015552029,41.0
632,015611002,9.0
633,015612119,0.0
634,015612149,97.0
635,015632122,1.0
636,015652035,39.0
637,015652040,34.0
638,015711008,23.0
639,015712160,134.0
640,015722121,0.0
641,015752060,39.0
642,015811014,10.0
643,015812161,0.0
644,015812163,48.0
645,015812167,0.0
646,015852079,61.0
647,015912041,15.0
648,016111032,0.0
649,016122232,73.0
650,016122376,139.0
651,016122474,31.0
652,016122475,48.0
653,016132106,15.0
654,016142045,0.0
655,016142067,1.0
656,016152345,3.0
657,016152368,1.0
658,016152401,39.0
659,016152450,1.0
660,016152456,30.0
661,016212159,33.0
662,016212325,1.0
663,016212368,9.0
664,016212370,1.0
665,016312033,4.0
666,016312380,4.0
667,016322081,13.0
668,016322141,0.0
669,016322200,1.0
670,016322211,104.0
671,016322212,0.0
672,016322214,58.0
673,016342059,8.0
674,016422032,4.0
675,016512230,1.0
676,016512300,37.0
677,016552052,139.0
678,016612146,0.0
679,016612231,7.0
680,016612247,79.0
681,016612248,41.0
682,016622143,11.0
683,016622158,0.0
684,016632184,38.0
685,016712187,0.0
686,016732067,48.0
687,016752075,0.0
688,016812278,0.0
689,016812295,32.0
690,016852103,0.0
691,016852125,18.0
692,016852145,0.0
693,017152141,1.0
694,017152147,30.0
695,017212090,113.0
696,017252082,25.0
697,017312088,1.0
698,017322059,11.0
699,017412147,64.0
700,018151051,0.0
701,018251019,10.0
702,018312041,9.0
703,018622037,0.0
704,018722023,0.0
705,018751007,1.0
706,019312031,0.0
707,019712003,0.0
708,019812133,114.0
709,020412105,97.0
710,021152060,191.0
711,021212128,1.0
712,021311026,34.0
713,021321017,300.0
714,021412174,69.0
715,021712045,27.0
716,021812134,13.0
717,022311017,16.0
718,022412060,75.0
719,023132020,18.0
720,023132090,15.0
721,023212301,2.0
722,023212334,0.0
723,023222148,2.0
724,023252112,25.0
725,023312222,61.0
726,023322187,0.0
727,023412415,1.0
728,023412430,0.0
729,023432056,47.0
730,023512234,4.0
731,023512313,0.0
732,023612006,19.0
733,023622103,39.0
734,023622129,18.0
735,023622152,0.0
736,023652069,105.0
737,023711020,38.0
738,023712128,36.0
739,023712276,0.0
740,023752077,13.0
741,023812262,109.0
742,024652010,3.0
743,025122303,0.0
744,025152055,9.0
745,025152116,172.0
746,025152189,0.0
747,025152203,1.0
748,025152370,12.0
749,025152380,1.0
750,025212253,0.0
751,025222119,37.0
752,025232060,3.0
753,025252167,0.0
754,025322055,509.0
755,025412057,45.0
756,025412198,0.0
757,025412315,3.0
758,025432075,0.0
759,025442046,28.0
760,025522046,2.0
761,025632109,23.0
762,025752024,0.0
763,025812169,0.0
764,025852013,0.0
765,025852016,0.0
766,025912124,56.0
767,026452052,12.0
768,026512135,32.0
769,026512154,6.0
770,026552042,89.0
771,026552045,1.0
772,026632016,352.0
773,026652043,78.0
774,027122107,103.0
775,028112051,38.0
776,028132089,12.0
777,028152057,6.0
778,028152263,47.0
779,028152265,279.0
780,028152279,26.0
781,028152281,102.0
782,028212203,67.0
783,028232020,0.0
784,028232022,0.0
785,028232058,0.0
786,028252051,11.0
787,028252094,113.0
788,028312174,0.0
789,028312184,20.0
790,028332027,0.0
791,028332057,2.0
792,028352018,87.0
793,028352019,25.0
794,028412257,218.0
795,028431000,2.0
796,028612090,0.0
797,028632107,31.0
798,028652012,213.0
799,028812154,0.0
800,028852078,10.0
801,028852080,0.0
802,028922009,78.0
803,029112292,50.0
804,029122245,12.0
805,029122294,33.0
806,029142041,15.0
807,029212070,1.0
808,029212137,25.0
809,029212264,35.0
810,029222100,1.0
811,029232087,3.0
812,029239584,105.0
813,029252168,0.0
814,029252191,56.0
815,029312131,0.0
816,029322150,57.0
817,029332139,61.0
818,029352007,27.0
819,029515211,18.0
820,029542009,117.0
821,029612143,2.0
822,029622062,72.0
823,029712133,14.0
824,029712151,12.0
825,029722214,12.0
826,029732067,11.0
827,029852057,57.0
828,031112017,0.0
829,031112028,65.0
830,031412041,93.0
831,032112209,70.0
832,032122317,21.0
833,032122318,9.0
834,032132076,74.0
835,032152221,120.0
836,032152225,1.0
837,032152299,20.0
838,032152306,1.0
839,032212138,41.0
840,032212265,18.0
841,032212284,21.0
842,032212296,32.0
843,032222115,7.0
844,032222117,103.0
845,032222118,1.0
846,032252190,19.0
847,032252194,9.0
848,032252196,50.0
849,032312138,23.0
850,032312259,16.0
851,032312278,12.0
852,032312284,1.0
853,032322143,22.0
854,032332151,65.0
855,032352026,11.0
856,032412105,80.0
857,032412226,73.0
858,032412242,0.0
859,032412325,20.0
860,032432017,63.0
861,032512106,0.0
862,032512241,0.0
863,032512246,44.0
864,032552024,104.0
865,032552032,0.0
866,032612033,33.0
867,032612126,25.0
868,032612147,2.0
869,032632114,23.0
870,032632146,4.0
871,032632148,0.0
872,032652006,2.0
873,032712036,38.0
874,032712124,0.0
875,032712139,123.0
876,032712160,1.0
877,032722124,12.0
878,032812119,82.0
879,032812204,13.0
880,032832010,7.0
881,032852118,20.0
882,032912086,121.0
883,032912087,16.0
884,032912088,11.0
885,034122072,74.0
886,034122073,9.0
887,034152064,31.0
888,034252028,59.0
889,034312048,104.0
890,034552005,22.0
891,034552010,46.0
892,034812074,38.0
893,034912020,35.0
894,035112192,5.0
895,035112197,3.0
896,035122357,1.0
897,035122411,15.0
898,035122433,11.0
899,035132161,4.0
900,035152126,21.0
901,035152322,254.0
902,035152349,0.0
903,035152354,50.0
904,035212101,64.0
905,035212215,0.0
906,035212283,6.0
907,035212289,0.0
908,035212295,1.0
909,035212312,22.0
910,035222088,12.0
911,035222096,32.0
912,035222125,42.0
913,035252192,0.0
914,035252212,1.0
915,035252216,151.0
916,035312208,0.0
917,035312213,29.0
918,035312214,9.0
919,035322206,1.0
920,035322210,1.0
921,035322214,71.0
922,035332010,1.0
923,035412336,31.0
924,035412355,20.0
925,035412372,7.0
926,035412376,9.0
927,035432083,0.0
928,035452094,1.0
929,035512315,64.0
930,035512316,255.0
931,035522092,54.0
932,035612250,8.0
933,035612253,10.0
934,035612265,23.0
935,035612268,66.0
936,035622137,27.0
937,035632184,0.0
938,035632236,64.0
939,035652054,1.0
940,035652059,1.0
941,035712151,13.0
942,035712287,25.0
943,035712289,8.0
944,035712290,56.0
945,035722007,100.0
946,035722173,3.0
947,035722176,0.0
948,035722191,22.0
949,035812289,35.0
950,035812304,5.0
951,035812309,77.0
952,035852095,0.0
953,035852170,98.0
954,035852183,1.0
955,035852185,32.0
956,036112245,0.0
957,036112247,47.0
958,036122398,1.0
959,036122450,3.0
960,036122479,2.0
961,036122570,0.0
962,036122580,3.0
963,036132131,64.0
964,036142042,316.0
965,036152472,0.0
966,036212048,71.0
967,036212128,1.0
968,036222170,40.0
969,036232144,1.0
970,036232173,50.0
971,036312347,57.0
972,036322038,47.0
973,036322150,44.0
974,036322168,0.0
975,036332219,27.0
976,036352026,13.0
977,036412369,24.0
978,036442008,3.0
979,036512216,1.0
980,036512302,0.0
981,036522052,5.0
982,036542033,2.0
983,036612120,17.0
984,036622083,1.0
985,036622088,1.0
986,036622105,38.0
987,036632109,0.0
988,036632132,25.0
989,036632142,43.0
990,036632149,0.0
991,036712181,0.0
992,036712187,6.0
993,036722153,38.0
994,036732014,0.0
995,036732049,0.0
996,036812210,4.0
997,036812266,10.0
998,036812276,5.0
999,036852148,7.0
1000,036852155,0.0
1001,036912118,25.0
1002,037112229,54.0
1003,037122094,21.0
1004,037122252,76.0
1005,037122481,43.0
1006,037122494,151.0
1007,037122495,61.0
1008,037122496,2.0
1009,037132166,10.0
1010,037142047,16.0
1011,037142074,68.0
1012,037152043,23.0
1013,037152362,104.0
1014,037152389,0.0
1015,037152394,45.0
1016,037152395,34.0
1017,037212287,66.0
1018,037212326,3.0
1019,037212371,19.0
1020,037212379,15.0
1021,037212380,66.0
1022,037212381,72.0
1023,037212382,107.0
1024,037222064,22.0
1025,037222119,54.0
1026,037232174,45.0
1027,037232180,154.0
1028,037240003,45.0
1029,037252024,44.0
1030,037252202,7.0
1031,037252219,0.0
1032,037252220,0.0
1033,037252221,3.0
1034,037252222,56.0
1035,037252223,26.0
1036,037252225,24.0
1037,037312102,0.0
1038,037312261,0.0
1039,037312263,83.0
1040,037312264,23.0
1041,037312268,30.0
1042,037322098,2.0
1043,037322130,0.0
1044,037322187,27.0
1045,037322234,70.0
1046,037332076,1.0
1047,037332110,28.0
1048,037342032,11.0
1049,037412336,19.0
1050,037412472,0.0
1051,037452111,10.0
1052,037452116,157.0
1053,037512077,0.0
1054,037512356,5.0
1055,037512363,6.0
1056,037512364,20.0
1057,037512366,106.0
1058,037522060,33.0
1059,037612201,127.0
1060,037612289,37.0
1061,037612291,1.0
1062,037622085,32.0
1063,037622197,97.0
1064,037632264,10.0
1065,037632283,5.0
1066,037632285,61.0
1067,037632286,43.0
1068,037652083,19.0
1069,037712115,17.0
1070,037712348,0.0
1071,037712364,4.0
1072,037722036,101.0
1073,037722162,47.0
1074,037722193,42.0
1075,037722223,11.0
1076,037752113,1.0
1077,037812334,1.0
1078,037812338,20.0
1079,037812339,63.0
1080,037812340,45.0
1081,037812342,44.0
1082,037852178,5.0
1083,037852184,0.0
1084,037852188,0.0
1085,037852190,111.0
1086,037912094,37.0
1087,037922014,12.0
1088,038112165,14.0
1089,038112292,86.0
1090,038122056,412.0
1091,038122447,8.0
1092,038122464,30.0
1093,038122465,38.0
1094,038152182,16.0
1095,038152257,8.0
1096,038152458,15.0
1097,038152459,30.0
1098,038152460,23.0
1099,038152462,60.0
1100,038152463,3.0
1101,038212162,20.0
1102,038212225,2.0
1103,038212241,0.0
1104,038212353,14.0
1105,038212355,3.0
1106,038212356,37.0
1107,038222156,58.0
